task,model,mean_fit_time,param_model__C,param_model__class_weight,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,param_model__n_neighbors,param_model__p,param_model__weights
multiclass_url_type,Logistic Regression,3.1524667739868164,10.0,balanced,0.7656875477364062,0.0022168617428561786,4,0.8015223835960138,0.003029333127164268,1,0.7251277586332897,0.0022166611487545243,1,,,
multiclass_url_type,Logistic Regression,1.7887992064158122,1.0,balanced,0.7599531805459843,0.0025872420747442668,5,0.7940378490304875,0.0031471556379878713,2,0.7094825950711664,0.003178095568158942,2,,,
multiclass_url_type,Logistic Regression,1.0665016174316406,0.1,balanced,0.7580000264927502,0.001522077894258384,6,0.783627355195398,0.005156397344453583,3,0.7002863826974908,0.0023573974889563682,3,,,
multiclass_url_type,Logistic Regression,2.85593843460083,10.0,,0.8336562618814826,0.001216129890685041,1,0.670487108445692,0.003251584217778783,4,0.6876318980562272,0.002585348068570644,4,,,
multiclass_url_type,Logistic Regression,1.6635589599609375,1.0,,0.8315781432280249,0.0015246122697461478,2,0.6671591523193593,0.002828287022679566,5,0.6817385004422913,0.0024843080655211416,5,,,
multiclass_url_type,Logistic Regression,0.829711119333903,0.1,,0.8315312711576436,0.0013136833769854595,3,0.6656402427931838,0.0019468218630060527,6,0.6792583124590218,0.0016752606260333057,6,,,
multiclass_url_type,k-NN,0.06747078895568848,,,0.9247187895134054,0.001976503932149293,1,0.8761993765691845,0.0025309716943514274,1,0.885909170020125,0.0034617721947900974,1,5.0,1.0,distance
multiclass_url_type,k-NN,0.08237886428833008,,,0.9243281701283613,0.0021615392086549675,2,0.8715343716112519,0.003637983218021005,3,0.8839472465956546,0.003837343007937594,2,11.0,1.0,distance
multiclass_url_type,k-NN,0.1825867493947347,,,0.9226875509868439,0.0026033894632244057,4,0.8737504404924553,0.003492636205515085,2,0.8826061538462984,0.004489164994964198,3,5.0,2.0,distance
multiclass_url_type,k-NN,0.07998847961425781,,,0.9230000463483968,0.0021321231424143534,3,0.870219868000412,0.004562639650896297,4,0.8821671943037869,0.004523745045027516,4,11.0,2.0,distance
multiclass_url_type,k-NN,0.0679771105448405,,,0.9226094071882711,0.001565727248802006,5,0.8664833526871645,0.0028142806162190057,6,0.8804211912159774,0.0019977697493903175,5,21.0,1.0,distance
multiclass_url_type,k-NN,0.055140415827433266,,,0.9221406564556318,0.0014602211293880327,6,0.8677195593464943,0.0038343476967949383,5,0.8797706687466963,0.0029670805799784424,6,5.0,1.0,uniform
multiclass_url_type,k-NN,0.13758095105489096,,,0.919890659384175,0.0015702244802110346,9,0.8662391312662638,0.004194551400708161,7,0.8768099295638175,0.0034433525369853397,7,5.0,2.0,uniform
multiclass_url_type,k-NN,0.07264351844787598,,,0.9205312716893737,0.001525172753870735,7,0.8635638349592757,0.002033593444945691,8,0.8767871973671976,0.0018757900698473167,8,21.0,2.0,distance
multiclass_url_type,k-NN,0.07240613301595052,,,0.9202656374120451,0.0008741481410621158,8,0.861104572843912,0.0008875914078331677,9,0.8753258319319267,0.0010089835819532967,9,31.0,1.0,distance
multiclass_url_type,k-NN,0.14246932665506998,,,0.9190312812099769,0.0015394453659493133,10,0.858111776910825,0.004740848845214579,10,0.8725108922831829,0.0036881387791058533,10,11.0,1.0,uniform
multiclass_url_type,k-NN,0.07079052925109863,,,0.9178437641198203,0.0011189659265461154,12,0.8580035184430623,0.0013018484747057367,11,0.8713444077279955,0.0009672143516769211,11,31.0,2.0,distance
multiclass_url_type,k-NN,0.07202712694803874,,,0.917937534627358,0.0016131185338281355,11,0.8563180077683725,0.003879913327958688,12,0.8707721384913377,0.0038032718768125505,12,11.0,2.0,uniform
multiclass_url_type,k-NN,0.0744306246439616,,,0.9154687511794096,0.00044337390845810074,13,0.8492301542502411,0.002621162566055491,13,0.865394615182769,0.0017651115698344578,13,21.0,1.0,uniform
multiclass_url_type,k-NN,0.07280079523722331,,,0.9127343927793777,0.0008066484008089904,14,0.8453079169130558,0.0028198250587543497,14,0.8607194388135522,0.0012130764479978148,14,21.0,2.0,uniform
multiclass_url_type,k-NN,0.07376869519551595,,,0.9117968568908088,0.000862210215638059,15,0.8413540839747108,0.0033129408893282173,15,0.8577614439514575,0.002754111130234223,15,31.0,1.0,uniform
multiclass_url_type,k-NN,0.08465719223022461,,,0.9092187560590942,0.0006535496608615751,16,0.8373548374506269,0.0009417533888593009,16,0.8535880298117231,0.0007230933447892404,16,31.0,2.0,uniform
